 z     x     y     pID   elem_type  elem_sequence
   9126.69034592571      -2.836178559882633E-002 -7.743522254924926E-004
        3069           0          63
   9180.37779635623       2.835775419250692E-002  1.112860059618949E-002
         476           1         139
   9340.31371521946       2.854174504937516E-002  5.962980435621595E-003
         659           1         139
   9500.20763408269       2.842780715823965E-002 -9.401038780221258E-003
         716           1         139
   9646.34595723120       2.836157351258268E-002  1.521586152397133E-003
        3073           1          64
   9726.26141666282      -2.830151672164636E-002 -3.090511096336731E-003
        2984           1          64
   10325.7848623999       2.848596103597119E-002  6.672966713399195E-004
        3425           1          64
   10365.7740921157      -2.846995331778025E-002  1.139134128297892E-003
        3581           1          64
   10365.7950921157       2.838985549133093E-002  9.037401003277597E-004
        3674           1          64
   10365.8370921157      -2.831003802866319E-002  1.298238033466377E-003
        3586           1          64
   10579.3498364095      -2.838203498803864E-002 -6.260270544931421E-003
        3767           1         139
   10699.2335255569       2.834142619595347E-002 -9.021346927059705E-003
        3184           1         139
   10765.3770142738      -2.844134756478426E-002 -6.494918186278734E-004
        3287           0          63
   10859.1274444201       2.832029627266890E-002 -6.510766240980009E-003
        3717           1         139
   10899.0536741359      -2.859844449345872E-002 -8.708412346249526E-003
         315           1         139
   11138.8840524308       2.860060561597073E-002  8.759889242358767E-003
         628           1         139
   11205.0859161477       2.829917255230033E-002 -9.947905192436081E-004
        3311           1          64
   11221.8155118621      -2.831338596290925E-002 -1.054146059998177E-002
         672           1         166
   11233.4175501479       2.839022905908229E-002  8.362657926282475E-003
         322           1           9
   11261.7627415779      -2.832348736729860E-002 -9.940221925997521E-003
         379           1         166
   11778.3547278837      -2.875580380382973E-002  8.181839676606647E-003
        3579           1         139
   11938.2696467469       2.840718556478765E-002  3.997455235517804E-003
         420           1         139
   12138.0897953259      -2.845972119313918E-002 -9.163821720241539E-003
        3244           1         139
   12141.1057953257       2.831463477178527E-002 -9.769873581552617E-003
        3149           1         166
   12257.9734844734      -2.848082494117951E-002 -1.033434747913050E-002
        2981           1         139
   12377.8191736208      -2.843463032988030E-002  1.252356179432198E-002
        3484           0         138
   12992.0406576434      -2.852756477275772E-002  9.994047291214156E-003
        3580           1           9
   13217.2319976527       2.852049705715281E-002 -6.748422632607953E-003
         512           1         139
   13403.3595505171       2.853945578091248E-002  1.422806212556743E-003
         551           1          64
   13548.6218736647       2.838862412319226E-002 -8.493713130361713E-003
        3450           1         219
   13659.8985245263      -2.835824468989897E-002 -9.196381125097844E-003
         825           1         166
   13711.4057925279       2.858728953651721E-002  9.172557480133882E-003
        3111           1           9
   13776.8082136740      -2.841717811791052E-002 -5.933812254701519E-003
        3247           1         139
   13803.0208476751      -2.838250441105096E-002 -1.202040566688026E-003
         416           1          64
   13868.3677113912      -2.840115969611685E-002  1.014220693008178E-002
         242           1         219
   13896.6709028214      -2.860653090589012E-002 -8.562214255893529E-003
        3441           1         139
   14016.6175919689      -2.837040186877950E-002 -8.723829538063145E-003
        3229           1         139
   14122.7666854016       2.837292328264369E-002 -7.195912865135367E-004
         631           1          64
   14336.3214296953       2.832127783701210E-002  9.357548106654661E-003
         751           1         139
   14390.9496976966       2.833260336587498E-002  9.303130999599039E-003
        3487           1           9
   14695.9934971376       2.901621255085250E-002 -1.026185578964642E-002
         486           1         139
   15495.4000914537      -2.843288904970405E-002 -6.781500142099012E-003
        3642           1         139
   15855.0721588960       2.831477428518264E-002 -1.207315347983503E-002
         590           1         139
   16081.2099414761      -2.847083725392306E-002  8.032625098743245E-004
         452           1          64
